# KTU 1.1 II:1						
125913	ˤmy	ˤm(I)+y	ʕm (I)	prep.	to	
125914	twtḥ	!t!w]t]ḥ(y[	/w-ḥ-y/	vb Gt prefc. 3 m. du.	to hasten	
125915	išdk	išd/+k	ỉšd	n. m. du. cstr. nom.	leg	
125916	tk	tk/	tk	n. m. abs. nom.	2) to	
125917	ḫršn	ḫršn(I)/	ḫršn (I)	n. m. sg. abs. nom.	(divine) mountain	
# KTU 1.1 II:24						
125918	bdk	bd(IV)+k	bd (IV)	prep.	into the hands of	
125919	spr	spr[	/s-p-r/	vb G suffc. 3 m. sg.	to count, number	
# KTU 1.1 II:25						
125920	ymnk	ymn(I)/+k	ymn (I)	n. m. cstr. nom.	right (side)	
# KTU 1.1 II:26						
125921	x	?	?	?	?	
# KTU 1.1 II:27						
125922	x	?	?	?	?	
# KTU 1.1 III:1						
125923	kptr	kptr/	kptr	TN sg. abs. nom.	Crete	
125924	ksu	ks(u/&u	ks/śủ	n. m. sg. cstr. nom.	seat, throne, chair	
125925	ṯbth	ṯb(t/t+h	ṯbt	n. f. sg. cstr. nom.	seat	
125926	ḥkpt	ḥkpt/	ḥkpt	TN sg. abs. nom.	mythical	
125927	arṣ	arṣ/	ảrṣ	n. f. sg. cstr. nom.	earth	
125928	nḥlth	nḥl(t/t+h	nḥlt	n. f. sg. cstr. nom.	property	
# KTU 1.1 III:2						
125929	b	b	b	prep.	in	
125930	alp	alp(II)/	ảlp (II)	num.	1) (one, a) thousand c) in appos	
125931	šd	šd(I)/	šd (I)	n. m. sg. cstr. nom.	open field	
125932	rbt	rb(t(I)/t	rbt (I)	n. f. sg. cstr. gen.	Lady	
125933	kmn	kmn(I)/	kmn (I)	n. m. sg. abs. gen.	acre	
125934	l	l(I)	l (I)	prep.	to	
125935	pˤn	pˤn/	pʕn	n. f. cstr. gen.	at the feet of	
125936	kṯr	kṯr(III)/	kṯr (III)	DN/element sg. abs. gen.	Koṯaru/Kothar	
# KTU 1.1 III:3						
125937	hbr	hbr[	/h-b-r/	vb G impv. 2	to bow	
125938	w	w	w	conj.	and	
125939	ql	ql[	/q-l/	vb G suffc. 3 m. sg.	to fall (down)	
125940	tštḥwy	!t!]š]]t]ḥwy(II)[	/ḥ-w-y/ (II)	vb Št prefc.	to prostrate oneself	
125941	w	w	w	conj.	and	
125942	kbd	kbd[:d	/k-b-d/	vb D impv. 2	to honour	
125943	hwt	hw(t(I)/t	hwt (I)	n. f. sg. abs. nom.	word	
# KTU 1.1 III:4						
125944	w	w	w	conj.	and	
125945	rgm	rgm[	/r-g-m/	vb G suffc. 3 m. sg.	to say, tell, announce, communicate, inform	
125946	l	l(I)	l (I)	prep.	to	
125947	kṯr	kṯr(III)/	kṯr (III)	DN/element sg. abs. gen.	Koṯaru/Kothar	
125948	w	w	w	conj.	and	
